10/29/2025-10:11:35.294765  [**] [1:2027757:5] ET DNS Query for .to TLD [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 172.18.23.1:56230 -> 172.16.16.144:53
10/29/2025-10:11:41.309239  [**] [1:2522200:5981] ET TOR Known Tor Relay/Router (Not Exit) Node Traffic group 201 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 152.67.108.225:8080 -> 172.18.21.202:49759
10/29/2025-10:11:41.632829  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.142:11391 -> 172.18.48.80:445
10/29/2025-10:11:56.489622  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.139:4167 -> 172.16.16.145:445
10/29/2025-10:11:57.316621  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.139:4161 -> 172.16.16.145:445
10/29/2025-10:11:57.653414  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.139:4161 -> 172.16.16.145:445
10/29/2025-10:11:57.853891  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.139:4168 -> 172.16.16.145:445
10/29/2025-10:12:05.520451  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.96:13971 -> 118.214.255.18:80
10/29/2025-10:12:06.893146  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.174:10009 -> 172.16.16.144:445
10/29/2025-10:12:08.337575  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57236 -> 210.241.69.194:80
10/29/2025-10:12:08.493521  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.174:10009 -> 172.16.16.144:445
10/29/2025-10:12:13.655965  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.185:1063 -> 172.18.48.80:445
